"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_genderM",0.28431875066,0.284814,0.0984867909866077,0.0946792425,0.12072915,0.44625495,0.4832915,"beta","Gender"
"b_independent",0.53370802690025,0.5165425,0.612814440049498,-0.677694675,-0.47890345,1.5478245,1.7400665,"beta","Independent"
"b_Intercept",-0.560661150225,-0.5559605,0.16758834964006,-0.89447945,-0.8423826,-0.29228465,-0.2390212,"beta","Intercept"
"b_mask_mandate",0.039229873009095,0.03980855,0.0467662576354095,-0.05354563,-0.038989445,0.11472635,0.130209,"beta","State mask mandate"
"b_republican",0.2082832735315,0.2070965,0.263891925616693,-0.3013527,-0.22183185,0.6364107,0.722476975,"beta","Republican"
"b_scaleage",0.14088557345,0.1399865,0.0420036924611148,0.060407255,0.07279641,0.21181085,0.224414125,"beta","Age"
"b_scaleage65_prop",0.1508105625075,0.1521585,0.0458793889381306,0.06015723,0.074372045,0.22628965,0.241057625,"beta","Proportion over 65"
"b_scalecases_norm_l1",-0.0037013061262,-0.00391573,0.0212318109973758,-0.045630075,-0.03856251,0.03142921,0.0381302275,"beta","Cases"
"b_scaledeaths_norm_l1",0.035601203048725,0.03516225,0.0536218192687439,-0.0684233175,-0.05326598,0.1242084,0.1399209,"beta","Deaths"
"b_scaledpres",0.270842220486925,0.2681795,0.261613410112488,-0.241553675,-0.16163335,0.70220925,0.7808725,"beta","Clinton vote share"
"b_scalefollowers",-0.00163251553045,-0.001723145,0.0444938604863351,-0.086503055,-0.07486978,0.072855995,0.0865701825,"beta","Followers"
"b_scalemargin_pc",0.070911443548955,0.07052285,0.048970100821634,-0.0261925825,-0.01054854,0.15183835,0.166051775,"beta","Margin of victory"
"b_scalemedianIncomeE",-0.019346084880495,-0.0193342,0.0441820240604558,-0.1044809,-0.09214078,0.054044945,0.068364865,"beta","Median income"
"b_scalenet_trump_vote",0.220867420644625,0.222726,0.272760591717282,-0.29722665,-0.23025095,0.66118815,0.7556105,"beta","Net Trump vote"
"b_scalenokken_poole_dim1",-0.03271954281007,-0.03324905,0.14657711722782,-0.318219125,-0.27490995,0.20918635,0.2574999,"beta","Ideology (DW Nominate 1)"
"b_scalenokken_poole_dim2",0.0225012360972,0.0217363,0.0468478695010327,-0.06784394,-0.053254735,0.096900125,0.113183675,"beta","Ideology (DW Nominate 2)"
"b_scaleVery.low.density",0.0172514258337225,0.01608165,0.0601945820823745,-0.0992519825,-0.07926199,0.11603775,0.136155025,"beta","Population density "
"b_typeSEN",0.0134217923078875,0.0118075,0.113254389595897,-0.21230845,-0.17272485,0.2022004,0.23768075,"beta","Senator"
"b_zi_genderM",0.3208538897542,0.321051,0.112245132318318,0.10195905,0.1378098,0.50203405,0.53931705,"zero-inflated","Gender"
"b_zi_independent",0.74154929270925,0.7385905,0.624937428413636,-0.525224475,-0.2895342,1.7667365,1.959794,"zero-inflated","Independent"
"b_zi_Intercept",1.01351745075,1.016265,0.211165753243093,0.59684265,0.66407345,1.362903,1.43143325,"zero-inflated","Intercept"
"b_zi_mask_mandate",-0.111177032853575,-0.1112575,0.0568331092420617,-0.2202426,-0.20387295,-0.01797475,0.000170289500000019,"zero-inflated","State mask mandate"
"b_zi_republican",-0.277800822674,-0.2751095,0.295280480939095,-0.8822275,-0.7617453,0.2096282,0.2916116,"zero-inflated","Republican"
"b_zi_scaleage",0.17652210738,0.176802,0.0474976028077332,0.083686755,0.099705085,0.2547306,0.2672619,"zero-inflated","Age"
"b_zi_scaleage65_prop",0.0575020397278925,0.0572747,0.0512655576413115,-0.0413328575,-0.02724047,0.14300605,0.158615825,"zero-inflated","Proportion over 65"
"b_zi_scalecases_norm_l1",0.0125240291500625,0.0120125,0.0284481961353754,-0.0405029475,-0.033871615,0.060982945,0.0717310525,"zero-inflated","Cases"
"b_zi_scaledeaths_norm_l1",0.08438335893825,0.0796893,0.0445084061817725,0.010953755,0.02052192,0.16503755,0.18641215,"zero-inflated","Deaths"
