"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label","party"
"b_genderM",-0.267492492628,-0.2664995,0.282886406902773,-0.81830625,-0.73575105,0.18777495,0.3003444,"beta","Gender","Democracts"
"b_Intercept",-0.764396174505,-0.760865,0.223715984555272,-1.20810625,-1.1341355,-0.40328005,-0.321460775,"beta","Intercept","Democracts"
"b_mask_mandate",0.6834006065,0.685096,0.112602660765175,0.460258475,0.49928785,0.86686665,0.9012725,"beta","State mask mandate","Democracts"
"b_scaleage",-0.012476172466575,-0.01344385,0.120826222732078,-0.25902505,-0.2139742,0.1872304,0.221597325,"beta","Age","Democracts"
"b_scaleage65_prop",0.014040876119025,0.01146305,0.145347037832235,-0.27758185,-0.2247894,0.2514993,0.299041475,"beta","Proportion over 65","Democracts"
"b_scalecases_norm_l1",0.0721669796037,0.0715327,0.0626686536256682,-0.05124128,-0.03074692,0.17395095,0.19509,"beta","Cases","Democracts"
"b_scaledeaths_norm_l1",-0.29980814172425,-0.2916395,0.332174340189091,-0.967109,-0.86319515,0.233371,0.325759425,"beta","Deaths","Democracts"
"b_scaledpres",0.14741477332455,0.143121,0.224730899946902,-0.290556275,-0.2145638,0.5217993,0.588494075,"beta","Clinton vote share","Democracts"
"b_scalefollowers",-0.191759667804075,-0.1899895,0.139654919626648,-0.46432495,-0.42086895,0.0358142449999998,0.0878085275,"beta","Followers","Democracts"
"b_scalemargin_pc",0.4010318054175,0.3978615,0.172455772123408,0.0731699725,0.12873595,0.68890325,0.74126575,"beta","Margin of victory","Democracts"
"b_scalemedianIncomeE",0.22183023400565,0.2250875,0.166515043327383,-0.10803675,-0.049208365,0.49110405,0.54839395,"beta","Median income","Democracts"
"b_scalenet_trump_vote",0.426136991416252,0.423251,0.243540930878256,-0.04743807,0.02715964,0.8272794,0.9044605,"beta","Net Trump vote","Democracts"
"b_scalenokken_poole_dim1",0.03920887396695,0.03802035,0.197174830303079,-0.3420443,-0.287715,0.36256555,0.42431495,"beta","Ideology (DW Nominate 1)","Democracts"
"b_scalenokken_poole_dim2",-0.1395361211788,-0.1386825,0.156017709580286,-0.451023725,-0.40012015,0.1161413,0.1687309,"beta","Ideology (DW Nominate 2)","Democracts"
"b_scaleVery.low.density",-0.026804076937175,-0.0264417,0.164246362782061,-0.357293525,-0.3015245,0.24387275,0.295618,"beta","Population density ","Democracts"
"b_zi_genderM",-0.090333995123075,-0.08788315,0.457760859872081,-0.997777375,-0.84430095,0.6494432,0.803410775,"zero-inflated","Gender","Democracts"
"b_zi_Intercept",1.327821644435,1.32695,0.370984380682849,0.60852935,0.7443216,1.9500615,2.06295025,"zero-inflated","Intercept","Democracts"
"b_zi_mask_mandate",-0.647087122025,-0.649027,0.173248119443044,-0.978726775,-0.9325693,-0.36102305,-0.304813975,"zero-inflated","State mask mandate","Democracts"
"b_zi_scaleage",0.238536559088575,0.235102,0.195063404480104,-0.139357025,-0.07798381,0.5609374,0.63299555,"zero-inflated","Age","Democracts"
